ElementID,Type,Volume,Sxx,Syy,Szz,Sxy,Sxz,Syz,Exx,Eyy,Ezz,Exy,Exz,Eyz
1,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
2,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
3,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
4,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
5,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
6,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
7,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
8,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
9,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
10,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
11,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
12,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
13,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
14,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
15,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
16,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
17,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
18,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
19,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
20,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
21,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
22,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
23,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
24,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
25,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
26,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
27,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
28,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
29,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
30,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
31,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
32,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
33,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
34,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
35,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
36,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
37,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
38,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
